id,group,answer,auto_passed,llm_answer_passed,generation_path,model_selected_evidence_ids,keyword_recall,claim_citation_coverage,claim_evidence_match_rate,citations,human_groundedness_0_or_1,human_answer_correct_0_or_1,human_citation_useful_0_or_1,reviewer_notes
full_001,bearing_knowledge,"## 结论与依据

- 外圈故障常见表现包括：时域信号出现周期性冲击，频域中外圈故障特征频率及其倍频附近能量增强，包络谱中 BPFO 附近峰值更明显 [bearing_outer_race_fault#bearing_outer_race_fault_c002]
- 当滚动体经过外圈缺陷位置时，会产生周期性冲击，冲击间隔与外圈故障特征频率相关 [bearing_outer_race_fault#bearing_outer_race_fault_c001]
- 轴承外圈故障通常与外圈滚道局部剥落、点蚀、裂纹或安装座支撑刚度异常有关 [bearing_outer_race_fault#bearing_outer_race_fault_c001]
- 外圈故障位置相对固定，因此在稳定转速下，振动信号中往往会出现较稳定的冲击重复模式 [bearing_outer_race_fault#bearing_outer_race_fault_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E02;E11;E12,1.0,1.0,1.0,bearing_outer_race_fault#bearing_outer_race_fault_c002;bearing_outer_race_fault#bearing_outer_race_fault_c001;bearing_outer_race_fault#bearing_outer_race_fault_c001;bearing_outer_race_fault#bearing_outer_race_fault_c001,,,,
full_002,bearing_knowledge,"## 结论与依据

- 内圈故障的诊断应关注内圈故障特征频率 BPFI 及其倍频，也要关注以转频为间隔的边频带 [bearing_inner_race_fault#bearing_inner_race_fault_c001]
- 内圈故障可能表现为周期性冲击、包络谱中 BPFI 及倍频明显、BPFI 两侧出现转频间隔的边频带 [bearing_inner_race_fault#bearing_inner_race_fault_c002]
- 与外圈故障不同，内圈随轴旋转，缺陷进入载荷区时冲击更强，离开载荷区时冲击减弱，因此信号常带有转频调制特征 [bearing_inner_race_fault#bearing_inner_race_fault_c001]
- 如果只有单个 BPFI 附近峰值，不能直接给出确定结论 [bearing_inner_race_fault#bearing_inner_race_fault_c002]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E03;E12;E14,1.0,1.0,1.0,bearing_inner_race_fault#bearing_inner_race_fault_c001;bearing_inner_race_fault#bearing_inner_race_fault_c002;bearing_inner_race_fault#bearing_inner_race_fault_c001;bearing_inner_race_fault#bearing_inner_race_fault_c002,,,,
full_003,bearing_knowledge,"## 结论与依据

- 若模型输出滚动体故障但置信度不高，应结合润滑油状态、噪声、温度和多传感器数据复核 [bearing_ball_fault#bearing_ball_fault_c002]
- 滚动体既自转又随保持架公转，接触内外圈时受力状态不断变化，因此振动信号往往比单纯外圈故障更复杂 [bearing_ball_fault#bearing_ball_fault_c001]
- 建议检查润滑脂或润滑油污染情况、轴承工作温度、载荷冲击和安装状态 [bearing_ball_fault#bearing_ball_fault_c003]
- 若存在金属磨屑、温升明显或振动趋势快速上升，应安排停机检查并评估是否更换轴承 [bearing_ball_fault#bearing_ball_fault_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",False,False,first_pass,E01;E12;E05;E06,0.5,1.0,1.0,bearing_ball_fault#bearing_ball_fault_c002;bearing_ball_fault#bearing_ball_fault_c001;bearing_ball_fault#bearing_ball_fault_c003;bearing_ball_fault#bearing_ball_fault_c003,,,,
full_004,bearing_knowledge,"## 结论与依据

- 保持架故障可能出现 FTF 及其倍频成分、低频调制、非稳定冲击和摩擦引起的宽带能量升高 [bearing_cage_fault#bearing_cage_fault_c002]
- 保持架故障通常不如内外圈故障容易通过单一特征频率稳定识别 [bearing_cage_fault#bearing_cage_fault_c001]
- 保持架转速低于轴转速，因此相关特征常出现在较低频率区域，并可能伴随宽带摩擦噪声 [bearing_cage_fault#bearing_cage_fault_c001]
- 若资料不足，应建议补充采样和现场检查，而不是直接推断故障等级 [bearing_cage_fault#bearing_cage_fault_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E04;E13;E15,1.0,1.0,1.0,bearing_cage_fault#bearing_cage_fault_c002;bearing_cage_fault#bearing_cage_fault_c001;bearing_cage_fault#bearing_cage_fault_c001;bearing_cage_fault#bearing_cage_fault_c003,,,,
full_005,signal_analysis,"## 结论与依据

- 若故障激励了结构高频共振，先做带通滤波再进行包络分析可能更清楚 [vibration_signal_features#vibration_signal_features_c001]
- 包络谱适合识别调制型冲击，尤其在轴承局部故障中常用 [vibration_signal_features#vibration_signal_features_c001]
- 若故障发展到中后期，冲击能量、高频共振和时域峭度可能同时升高 [bearing_inner_race_fault#bearing_inner_race_fault_c002]
- 若故障较严重，可能出现宽带冲击能量升高、峭度增大和高频共振带增强 [bearing_outer_race_fault#bearing_outer_race_fault_c002]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E02;E03;E04,1.0,1.0,1.0,vibration_signal_features#vibration_signal_features_c001;vibration_signal_features#vibration_signal_features_c001;bearing_inner_race_fault#bearing_inner_race_fault_c002;bearing_outer_race_fault#bearing_outer_race_fault_c002,,,,
full_006,signal_analysis,"## 结论与依据

- RMS 升高可能来自负载变化、安装松动、共振或故障 [vibration_signal_features#vibration_signal_features_c002]
- 单一指标不能作为最终诊断依据 [vibration_signal_features#vibration_signal_features_c002]
- 维护措施包括检查轴承座配合、润滑状态、外圈滚道磨损、异常温升和噪声 [bearing_outer_race_fault#bearing_outer_race_fault_c003]
- 但由于只分析单段信号，建议结合历史趋势和现场检查复核 [vibration_signal_features#vibration_signal_features_c002]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E06;E08;E15;E19,1.0,1.0,1.0,vibration_signal_features#vibration_signal_features_c002;vibration_signal_features#vibration_signal_features_c002;bearing_outer_race_fault#bearing_outer_race_fault_c003;vibration_signal_features#vibration_signal_features_c002,,,,
full_007,maintenance,"## 结论与依据

- 若模型诊断为外圈故障且置信度较高，建议先复核采样点、转速、负载和传感器安装状态，再进行现场检查 [bearing_outer_race_fault#bearing_outer_race_fault_c003]
- 模型可以根据振动信号给出故障类别和置信度，但是否停机、更换或继续运行，需要结合设备重要性、负载、温度、噪声、历史趋势和生产风险 [maintenance_decision#maintenance_decision_c001]
- 若置信度中等或现场症状不明显，建议复测多段信号，确认传感器安装和采样工况，再决定是否拆检 [maintenance_decision#maintenance_decision_c001]
- 报告中应明确风险提示：基于单段振动信号的诊断不能替代现场拆检，尤其不能直接推断剩余寿命 [bearing_outer_race_fault#bearing_outer_race_fault_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E07;E20;E19,1.0,1.0,1.0,bearing_outer_race_fault#bearing_outer_race_fault_c003;maintenance_decision#maintenance_decision_c001;maintenance_decision#maintenance_decision_c001;bearing_outer_race_fault#bearing_outer_race_fault_c003,,,,
full_008,maintenance,"## 结论与依据

- 高置信度内圈故障建议检查轴承与轴的配合、润滑情况、轴向载荷、对中状态和温升 [bearing_inner_race_fault#bearing_inner_race_fault_c003]
- 高置信度故障并伴随温升、噪声增大或振动趋势恶化时，应优先安排停机检查 [maintenance_decision#maintenance_decision_c001]
- 若存在异常噪声、温度升高或冲击趋势持续恶化，应优先安排停机检查 [bearing_inner_race_fault#bearing_inner_race_fault_c003]
- 报告中应明确风险提示：基于单段振动信号的诊断不能替代现场拆检，尤其不能直接推断剩余寿命 [bearing_outer_race_fault#bearing_outer_race_fault_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E02;E07;E15,1.0,1.0,1.0,bearing_inner_race_fault#bearing_inner_race_fault_c003;maintenance_decision#maintenance_decision_c001;bearing_inner_race_fault#bearing_inner_race_fault_c003;bearing_outer_race_fault#bearing_outer_race_fault_c003,,,,
full_009,maintenance,"## 结论与依据

- 诊断报告应区分“模型结论”和“维修决策” [maintenance_decision#maintenance_decision_c001]
- 用户提供设备类型与现场现象后，也可以列出候选原因，但必须明确这些不是工具诊断结论 [no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c002]
- 模型可以根据振动信号给出故障类别和置信度，但是否停机、更换或继续运行，需要结合设备重要性、负载、温度、噪声、历史趋势和生产风险 [maintenance_decision#maintenance_decision_c001]
- 高置信度故障并伴随温升、噪声增大或振动趋势恶化时，应优先安排停机检查 [maintenance_decision#maintenance_decision_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",False,False,first_pass,E01;E03;E07;E12,0.75,1.0,1.0,maintenance_decision#maintenance_decision_c001;no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c002;maintenance_decision#maintenance_decision_c001;maintenance_decision#maintenance_decision_c001,,,,
full_010,maintenance,"## 结论与依据

- 设备点检发现温升异常时，应先确认测温位置、传感器安装、环境温度和历史基线，排除测点变化或传感器漂移 [equipment_temperature_checks#equipment_temperature_checks_c001]
- 机械侧应排查轴承润滑不足或过量、游隙和装配异常、对中不良、摩擦加剧、负载突增以及冷却风道堵塞 [equipment_temperature_checks#equipment_temperature_checks_c002]
- 若电机温升明显，还需要检查负载、散热、润滑和电气状态 [motor_faults#motor_faults_c001]
- 不平衡通常与转频成分增强有关，不对中可能出现转频及倍频成分，轴承故障则可能出现冲击和包络谱特征 [motor_faults#motor_faults_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",False,False,first_pass,E01;E02;E11;E12,0.75,1.0,1.0,equipment_temperature_checks#equipment_temperature_checks_c001;equipment_temperature_checks#equipment_temperature_checks_c002;motor_faults#motor_faults_c001;motor_faults#motor_faults_c001,,,,
